Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2025-03-24T12:12:57;Dividendes;0.67;BlackRock;US09290D1019;0.165147;;0.12;;
2025-03-25T09:03:55;Dépôt;3000.0;Maxime Farré;;;;;;
2025-03-25T14:33:15;Dépôt;5.0;Maxime Farré;;;;;;
2025-03-26T07:34:17;Dépôt;2000.0;Maxime Farré;;;;;;
2025-03-26T10:30:59;Dividendes;0.19;Meta Platforms (A);US30303M1027;0.470248;;0.04;;
2025-03-30T10:24:20;Dépôt;1.0;M. FARRE MAXIME;;;;;;
2025-03-31T10:22:27;Dividendes;0.42;Broadcom;US11135F1012;0.90329;;0.07;;
2025-04-01T06:14:36;Intérêts;1.6;Zinsen;;;;;;
2025-04-02T09:29:23;Dividendes;0.01;NVIDIA;US67066G1040;0.96759;;;;
2025-04-02T13:49:02;Achat;-25.0;Alphabet (A);US02079K3059;0.172413;;;;
2025-04-02T13:57:26;Achat;-20.0;Booking Holdings;US09857L1089;0.004629;;;;
2025-04-02T14:07:35;Achat;-25.0;BlackRock;US09290D1019;0.028477;;;;
2025-04-02T14:09:04;Achat;-20.0;NVIDIA;US67066G1040;0.199084;;;;
2025-04-02T14:15:44;Achat;-25.0;Broadcom;US11135F1012;0.160338;;;;
2025-04-02T14:15:57;Achat;-25.0;Meta Platforms (A);US30303M1027;0.046244;;;;
2025-04-02T14:48:18;Achat;-30.0;Microsoft;US5949181045;0.08536;;;;
2025-04-02T14:54:25;Achat;-25.0;Amazon.com;US0231351067;0.141163;;;;
2025-04-02T15:08:31;Achat;-25.0;Visa;US92826C8394;0.078616;;;;
2025-04-16T13:48:47;Achat;-25.0;Alphabet (A);US02079K3059;0.185102;;;;
2025-04-16T13:56:41;Achat;-20.0;Booking Holdings;US09857L1089;0.004962;;;;
2025-04-16T14:07:17;Achat;-25.0;BlackRock;US09290D1019;0.032354;;;;
2025-04-16T14:08:10;Achat;-20.0;NVIDIA;US67066G1040;0.215377;;;;
2025-04-16T14:15:27;Achat;-25.0;Meta Platforms (A);US30303M1027;0.055965;;;;
2025-04-16T14:15:49;Achat;-25.0;Broadcom;US11135F1012;0.162443;;;;
2025-04-16T14:52:28;Achat;-25.0;Amazon.com;US0231351067;0.160092;;;;
2025-04-16T15:08:31;Achat;-25.0;Visa;US92826C8394;0.084488;;;;
2025-05-01T05:46:43;Intérêts;6.6;Zinsen;;;;;;
2025-05-02T08:41:42;Achat;-15.0;BYD;CNE100000296;0.342622;;;;
2025-05-02T13:49:02;Achat;-25.0;Alphabet (A);US02079K3059;0.175389;;;;
2025-05-02T13:56:42;Achat;-20.0;Booking Holdings;US09857L1089;0.004393;;;;
2025-05-02T14:07:31;Achat;-25.0;BlackRock;US09290D1019;0.030517;;;;
2025-05-02T14:08:58;Achat;-20.0;NVIDIA;US67066G1040;0.199521;;;;
2025-05-02T14:15:43;Achat;-25.0;Broadcom;US11135F1012;0.139213;;;;
2025-05-02T14:15:46;Achat;-25.0;Meta Platforms (A);US30303M1027;0.047782;;;;
2025-05-02T14:44:19;Achat;-30.0;Microsoft;US5949181045;0.078196;;;;
2025-05-02T14:52:26;Achat;-25.0;Amazon.com;US0231351067;0.149593;;;;
2025-05-02T15:08:43;Achat;-25.0;Visa;US92826C8394;0.081486;;;;
2025-05-07T06:25:52;Dépôt;7000.0;Maxime Farré;;;;;;
2025-05-07T15:41:11;Dividendes;1.5;Danone;FR0000120644;1.0;;0.65;;
2025-05-15T08:23:00;Dividendes;0.24;Apple;US0378331005;1.816277;;0.18;;
2025-05-16T08:41:23;Achat;-15.0;BYD;CNE100000296;0.30303;;;;
2025-05-16T13:48:33;Achat;-25.0;Alphabet (A);US02079K3059;0.166289;;;;
2025-05-16T13:56:41;Achat;-20.0;Booking Holdings;US09857L1089;0.00426;;;;
2025-05-16T14:07:17;Achat;-25.0;BlackRock;US09290D1019;0.028261;;;;
2025-05-16T14:08:25;Achat;-20.0;NVIDIA;US67066G1040;0.164934;;;;
2025-05-16T14:15:26;Achat;-25.0;Meta Platforms (A);US30303M1027;0.04379;;;;
2025-05-16T14:52:10;Achat;-25.0;Amazon.com;US0231351067;0.136047;;;;
2025-05-16T15:08:31;Achat;-25.0;Visa;US92826C8394;0.076464;;;;
2025-05-16T21:16:05;Dépôt;5000.0;Maxime Farré;;;;;;
2025-06-01T11:26:06;Intérêts;16.75;Zinsen;;;;;;
2025-06-02T08:41:23;Achat;-40.0;BYD;CNE100000296;0.925925;;;;
2025-06-02T13:49:20;Achat;-60.0;Alphabet (A);US02079K3059;0.406448;;;;
2025-06-02T13:56:43;Achat;-50.0;Booking Holdings;US09857L1089;0.010399;;;;
2025-06-02T14:05:16;Dividendes;0.19;Visa;US92826C8394;0.637954;;0.15;;
2025-06-02T14:07:18;Achat;-50.0;BlackRock;US09290D1019;0.058837;;;;
2025-06-02T14:10:55;Achat;-50.0;NVIDIA;US67066G1040;0.419956;;;;
2025-06-02T14:15:26;Achat;-60.0;Meta Platforms (A);US30303M1027;0.104876;;;;
2025-06-02T14:15:43;Achat;-60.0;Broadcom;US11135F1012;0.277123;;;;
2025-06-02T14:45:10;Achat;-70.0;Microsoft;US5949181045;0.173999;;;;
2025-06-02T14:54:20;Achat;-60.0;Amazon.com;US0231351067;0.333964;;;;
2025-06-02T15:14:34;Achat;-60.0;Visa;US92826C8394;0.189304;;;;
2025-06-10T11:36:59;Dividendes;0.48;Tractor Supply;US8923561067;4.287825;;0.39;;
2025-06-12T12:48:16;Dividendes;0.17;Microsoft;US5949181045;0.437166;;0.14;;
2025-06-16T08:41:23;Achat;-40.0;BYD;CNE100000296;2.777777;;;;
